Name	Set	ImageFile	Rarity	S. Lvl	Category	Type
Gooulder	Based	img76.png	Rare-Dioactive	7	Effect	Poudrin
Titanic Anime Girl of Doom	Based	img77.png	Rare-Dioactive	8	Effect	Poudrin
Mammoslime	Based	img78.png	Rare-Dioactive	8	Effect	Poudrin
The Hardened Shoguslime	Based	img79.png	Rare-Dioactive	8	Effect	Poudrin
WHAM B.A.M.	Based	img80.png	Rare-Dioactive	10	Effect	Poudrin
Regiwar	Based	img81.png	Super Critical NucleaRare	11	Effect	Poudrin
Turt	Based	img82.png	Inert	1	Effect	Mutant
Just a Rat with a Phd	Based	img83.png	Inert	2	Effect	Mutant
Fish Sord	Based	img84.png	Inert	2	Effect	Mutant
Pissboi	Based	img85.png	Inert	2	Effect	Mutant
Radioactive Frog	Based	img86.png	Inert	3	Effect	Mutant
S.J.W.	Based	img87.png	Unstable	3	Effect	Mutant
Texas Red	Based	img88.png	Unstable	4	AbNormal	Mutant
Arm Dragon	Based	img89.png	Inert	4	Effect	Mutant
Creepah	Based	img90.png	Unstable	4	Effect	Mutant
Elemental Hero Slimerman	Based	img91.png	Inert	4	Effect	Mutant
Slime of Greed	Based	img92.png	Unstable	4	Effect	Mutant
Angered Striding Sphinter	Based	img93.png	Unstable	5	Effect	Mutant
Desert Raider	Based	img94.png	Unstable	6	AbNormal	Mutant
Blade Bustah Edgedude	Based	img95.png	Rare-Dioactive	6	Effect	Mutant
Dripping Cactus	Based	img96.png	Unstable	7	Effect	Mutant
Big Ass Snake	Based	img97.png	Rare-Dioactive	8	Effect	Mutant
The Slimera	Based	img98.png	Rare-Dioactive	8	Effect	Mutant
9-Tails Awoo Girl	Based	img99.png	Rare-Dioactive	9	Effect	Mutant
Not-So-Smol, Mimic Cutie	Based	img100.png	Rare-Dioactive	9	Effect	Mutant
The Slimedealer	Based	img101.png	Rare-Dioactive	10	Effect	Mutant
Embiggened Turt	Based	img102.png	Super Critical NucleaRare	11	Effect	Mutant
GooWheels	Based	img103.png	Inert	1	Effect	Construct
Robot Sord	Based	img104.png	Inert	2	Effect	Construct
Slime in a Bottle	Based	img105.png	Unstable	3	Effect	Construct
Fridgegrob	Based	img106.png	Inert	4	Effect	Construct
Ovengrob	Based	img107.png	Inert	4	Effect	Construct
Drillgrob	Based	img108.png	Inert	4	Effect	Construct
Vacuumgrob	Based	img109.png	Inert	4	Effect	Construct
Toxic Fumes Lamp	Based	img110.png	Inert	4	Effect	Construct
Helislime	Based	img111.png	Unstable	4	Effect	Construct
Unnerving Fighting Object	Based	img112.png	Unstable	4	Effect	Construct
Slime Machine	Based	img113.png	Unstable	5	Effect	Construct
Unnerving Fighting Operator	Based	img114.png	Unstable	6	Effect	Construct
Slimeborg	Based	img115.png	Unstable	6	Effect	Construct
Goo-L-Aid Man	Based	img116.png	Rare-Dioactive	7	Effect	Construct
Green Golem	Based	img117.png	Unstable	8	Effect	Construct
SludgeRacer	Based	img118.png	Rare-Dioactive	9	Effect	Construct
N911, The Towers that will dig up the Sewers	Based	img119.png	Rare-Dioactive	9	Effect	Construct
Experiment Shillhelmet	Based	img120.png	Rare-Dioactive	11	Effect	Construct
Twin Tower Battleship F911	Based	img121.png	Rare-Dioactive	11	Effect	Construct
Super Robo F.N. 911	Based	img122.png	Rare-Dioactive	11	Mix	Construct
Endless War!?	Based	img123.png	Super Critical NucleaRare	12	Effect	Construct
Trans Beam	Based	img124.png	Unstable	-	Action 	Action Card
Auto Hot Key	Based	img125.png	Unstable	-	Action	Action Card
Stoopid Burial	Based	img126.png	Inert	-	Action	Action Card
Max Revive	Based	img127.png	Unstable	-	Action	Action Card
Endless Rock	Based	img128.png	Inert	-	Action	Action Card
The Last Duel!1!	Based	img129.png	Unstable	-	Action	Action Card
Dimension Inversion	Based	img130.png	Inert	-	Action	Action Card
Killing Effects with your lungs	Based	img131.png	Unstable	-	Action	Action Card
Eye-o-War	Based	img132.png	Unstable	-	Action	Action Card
Copypasta	Based	img133.png	Inert	-	Action	Action Card
!Dissolve	Based	img134.png	Inert	-	Action	Action Card
!CreateSlimeoid	Based	img135.png	Unstable	-	Action	Action Card
Booru Kingdom	Based	img136.png	Unstable	-	Action	Event
The Dojo	Based	img137.png	Unstable	-	Action	Event
The Sewers	Based	img138.png	Unstable	-	Action	Event
Coleslaw	Based	img139.png	Inert	-	Action	Power Up
Polymixization	Based	img140.png	Inert	-	Action	Action Card
The Shapeshifter	Based	img141.png	Inert	-	Action	Action Card
Alting	Based	img142.png	Unstable	-	Action	Action Card
The Nega Moon	Based	img143.png	Rare-Dioactive	-	Action	Event
The Gooasis	Based	img144.png	Unstable	-	Action	Event
The Lynching Pole	Based	img145.png	Unstable	-	Action	Event
Green Lotus	Based	img146.png	Unstable	-	Action	Action
A Bottle	Based	img147.png	Inert	-	Action	Object
Slime Sealing Gourd	Based	img148.png	Unstable	-	Action	Object
Smuggled Whisky Bottle	Based	img149.png	Inert	-	Action	Object
Lasagna	Based	img150.png	Inert	-	Action	Power Up
Level Up!	Based	img151.png	Unstable	-	Action	Action Card
Slimemorphosis	Based	img152.png	Inert	-	Action	Action Card
Lesbianism	Based	img153.png	Unstable	-	Action	Action Card
Polonium Path	Based	img154.png	Rare-Dioactive	-	Action	Event
It's Raining...	Based	img155.png	Inert	-	Action	Event
Slimengine	Based	img156.png	Inert	-	Action	Object
Double Towers	Based	img157.png	Unstable	-	Action	Event
Co1nfl1p	Based	img158.png	Rare-Dioactive	-	Action	Action Card
Dumbell	Based	img159.png	Inert	-	Action	Power Up
Execution Gene	Based	img160.png	Inert	-	Action	Power Up
!Thrash	Based	img161.png	Unstable	-	Action	Quickie
!Dab	Based	img162.png	Unstable	-	Action	Quickie
Trap Portal	Based	img163.png	Unstable	-	Action	Action Card
Snipe	Based	img164.png	Rare-Dioactive	-	Action	Quickie
Slime Briefcase	Based	img165.png	Rare-Dioactive	-	Action	Action Card
Mining Party	Based	img166.png	Inert	-	Action	Action Card
The Mines	Based	img167.png	Unstable	-	Action	Event
!Recycle	Based	img168.png	Inert	-	Action	Object
!Takedown	Based	img169.png	Rare-Dioactive	-	Action	Quickie
Robo Armor	Based	img170.png	Unstable	-	Action	Power Up
!Bottleslimeoid	Based	img171.png	Unstable	-	Action	Quickie
!Barterall	Based	img172.png	Unstable	-	Action	Action Card
!Piss	Based	img173.png	Inert	-	Action	Action Card
My Child!	Based	img174.png	Inert	-	Action	Quickie
The Catacombs	Based	img175.png	Unstable	-	Action	Event
Farming	Based	img176.png	Inert	-	Action	Object
Plutonium Chicken	Based	img177.png	Unstable	-	Action	Action Card
Double Stuffed Crust	Based	img178.png	Unstable	-	Action	Action Card
Slime Glob	Based	img179.png	Inert	-	Action	Action Card
Wreck-It-Crocsium	Based	img180.png	Rare-Dioactive	-	Action	Action Card
The Outskirts	Based	img181.png	Inert	-	Action	Event
!Hurl	Based	img182.png	Inert	-	Action	Action Card
!ARREST	Based	img183.png	Rare-Dioactive	-	Action	Quickie
Exploiting the System	Based	img184.png	Rare-Dioactive	-	Action	Action Card
The Door Experience	Based	img185.png	Unstable	-	Action	Event
Quantum Somersault	Based	img186.png	Rare-Dioactive	-	Action	Quickie
Kickoff Killshot	Based	img187.png	Rare-Dioactive	-	Action	Quickie
Embiggantamax	Based	img188.png	Unstable	-	Action	Action Card
Do The Ephraim	Based	img189.png	Inert	-	Action	Action Card
Cyberpunkification	Based	img190.png	Rare-Dioactive	-	Action	Power Up
Slimecotta's Army	Based	img191.png	Rare-Dioactive	-	Action	Event
A Poudrin	Based	img192.png	Inert	-	Action	Object
Just Grilling	Based	img193.png	Unstable	-	Action	Action Card
Razor Nuts	Based	img194.png	Inert	-	Action	Action Card
SOAKED	Based	img195.png	Super Critical NucleaRare	-	Action	Action Card
"""Triple 1"" Slot Machine"	Based	img196.png	Inert	-	Action	Action Card
Garrote Squad	Based	img197.png	Rare-Dioactive	-	Action	Action Card
Made In Taiwan Slimeoid Part	Based	img198.png	Inert	-	Action	Power Up
Integer Overflow	Based	img199.png	Rare-Dioactive	-	Action	Action Card
